# ---------------------------------------------- header, 5 lines----------------
# Spectral Response Curve (monochrome)
# Taken from company pdf, 14-04-2021
#  Wavelength(nm)  Response (A/W)
# ------------------------------------------------------------------------------
   7.5444063e+02   2.6240209e-01
   7.5517664e+02   2.6010444e-01
   7.5664868e+02   2.5780679e-01
   7.6032875e+02   2.5561358e-01
   7.6032875e+02   2.5248042e-01
   7.6253680e+02   2.4976501e-01
   7.6621688e+02   2.4778068e-01
   7.7431305e+02   2.4652742e-01
   7.7799313e+02   2.4621410e-01
   7.7872915e+02   2.4694517e-01
   7.8388126e+02   2.4788512e-01
   7.8461727e+02   2.4934726e-01
   7.8682532e+02   2.5101828e-01
   7.8976938e+02   2.5268930e-01
   7.9050540e+02   2.5467363e-01
   7.9271344e+02   2.5644909e-01
   7.9786555e+02   2.5676240e-01
   8.0007360e+02   2.5634465e-01
   8.0522571e+02   2.5477807e-01
   8.0522571e+02   2.5101828e-01
   8.0596173e+02   2.4663185e-01
   8.1184985e+02   2.4276762e-01
   8.1405790e+02   2.3806789e-01
   8.1626595e+02   2.3326371e-01
   8.2215407e+02   2.2950392e-01
   8.2730618e+02   2.2490862e-01
   8.3319431e+02   2.2010444e-01
   8.4202650e+02   2.1550914e-01
   8.4497056e+02   2.1060052e-01
   8.4791462e+02   2.0579634e-01
   8.5380275e+02   2.0099217e-01
   8.5527478e+02   1.9535248e-01
   8.5895486e+02   1.8960836e-01
   8.6263494e+02   1.8355091e-01
   8.6705103e+02   1.7770235e-01
   8.6778705e+02   1.7279373e-01
   8.7073111e+02   1.6861619e-01
   8.7367517e+02   1.6537859e-01
   8.8029931e+02   1.6328982e-01
   8.8250736e+02   1.6099217e-01
   8.9207556e+02   1.5848564e-01
   9.0017174e+02   1.5556136e-01
   9.0311580e+02   1.5211488e-01
   9.0900393e+02   1.4793734e-01
   9.1194799e+02   1.4323760e-01
   9.1562807e+02   1.3801567e-01
   9.1930815e+02   1.3227154e-01
   9.2151619e+02   1.2475196e-01
   9.2740432e+02   1.1765013e-01
   9.3108440e+02   1.1013055e-01
   9.3550049e+02   1.0208877e-01
   9.4359666e+02   9.5404700e-02
   9.5169284e+02   9.0913838e-02
   9.5463690e+02   8.5587467e-02
   9.5978901e+02   8.1096606e-02
   9.6788518e+02   7.7232376e-02
   9.7156526e+02   7.3263708e-02
   9.7524534e+02   6.8146214e-02
   9.7745339e+02   6.4073107e-02
   9.8481354e+02   6.0000000e-02
   9.8702159e+02   5.5091384e-02
   9.8996565e+02   4.9973890e-02
   9.9732581e+02   4.5169713e-02
   1.0010059e+03   4.0678851e-02
   1.0083660e+03   3.5979112e-02
   1.0098381e+03   3.2532637e-02
   1.0157262e+03   2.8668407e-02
   1.0216143e+03   2.5326371e-02
   1.0289745e+03   2.1462141e-02
   1.0370707e+03   1.8015666e-02
   1.0429588e+03   1.5195822e-02
