Scintillator file for SINPA FILDSIM
Scintilator stl file: scintillator
File by jansen
2
132
-0.001 -2.4858e-06 -0.033999
-0.00099957 0.00018942 -0.034018
-0.00099952 0.00037425 -0.034073
-0.0010002 0.00054527 -0.034163
-0.0009998 0.00069567 -0.034284
-0.00099957 0.0008201 -0.034431
-0.0010003 0.00091404 -0.0346
-0.00099964 0.00097364 -0.034783
-0.0010003 0.0041723 -0.049216
-0.00099967 0.0042319 -0.0494
-0.0010003 0.0043259 -0.049568
-0.001 0.0044503 -0.049716
-0.00099975 0.0046006 -0.049837
-0.0010003 0.0047716 -0.049926
-0.0010003 0.0049565 -0.049981
-0.0009998 0.0051485 -0.05
-0.001 0.023544 -0.050001
-0.00099954 0.023736 -0.049983
-0.00099949 0.02392 -0.049928
-0.0010002 0.024091 -0.049838
-0.00099977 0.024242 -0.049717
-0.00099954 0.024366 -0.04957
-0.0010003 0.02446 -0.049401
-0.00099961 0.02452 -0.049218
-0.00099943 0.027721 -0.034785
-0.00099973 0.027781 -0.034602
-0.00099938 0.027874 -0.034433
-0.0010001 0.027999 -0.034286
-0.0009998 0.02815 -0.034165
-0.00099945 0.02832 -0.034076
-0.00099937 0.028505 -0.03402
-0.00099987 0.028697 -0.034002
-0.00099943 0.042934 -0.034003
-0.00099946 0.043129 -0.033984
-0.00099984 0.043316 -0.033927
-0.001 0.043489 -0.033835
-0.00099954 0.043641 -0.03371
-0.00099991 0.053056 -0.024297
-0.00099959 0.05318 -0.024145
-0.00099961 0.053273 -0.023972
-0.0009995 0.05333 -0.023785
-0.00099979 0.053349 -0.02359
-0.00099979 0.053349 -0.023004
-0.0009995 0.05333 -0.022809
-0.00099961 0.053273 -0.022621
-0.00099959 0.05318 -0.022448
-0.00099992 0.053056 -0.022297
-0.00099947 0.052905 -0.022172
-0.00099915 0.052732 -0.02208
-0.00099973 0.052544 -0.022023
-0.00099982 0.052349 -0.022004
-0.0010001 0.049349 -0.022004
-0.00099916 0.049154 -0.021984
-0.00099974 0.048966 -0.021927
-0.00099952 0.048793 -0.021835
-0.001 0.048642 -0.021711
-0.00099928 0.048518 -0.021559
-0.00099937 0.048425 -0.021386
-0.00099949 0.048368 -0.021199
-0.0009992 0.048349 -0.021004
-0.00099926 0.04835 -0.0050035
-0.00099964 0.043644 -0.00029602
-0.00099917 0.043492 -0.00017164
-0.00099994 0.043319 -7.922e-05
-0.00099956 0.043132 -2.229e-05
-0.00099953 0.042937 -3.0616e-06
-0.00099997 0.0287 -1.8753e-06
-0.00099947 0.028508 1.6744e-05
-0.00099952 0.028323 7.1902e-05
-0.0009999 0.028153 0.00016154
-0.0010002 0.028002 0.00028231
-0.00099948 0.027877 0.00042973
-0.00099983 0.027784 0.0005983
-0.00099952 0.027724 0.00078176
-0.0009998 0.024525 0.015215
-0.00099936 0.024466 0.015398
-0.00099973 0.024372 0.015567
-0.00099997 0.024247 0.015714
-0.00099941 0.024097 0.015835
-0.00099967 0.023926 0.015925
-0.00099972 0.023741 0.01598
-0.0010002 0.023549 0.015999
-0.00099999 0.0051541 0.016
-0.0010005 0.0049622 0.015981
-0.00099955 0.0047771 0.015926
-0.00099992 0.0046063 0.015837
-0.0010002 0.0044559 0.015716
-0.0009995 0.0043312 0.015569
-0.00099985 0.0042375 0.0154
-0.00099943 0.0041776 0.015217
-0.00099973 0.0009767 0.00078399
-0.0010004 0.00091707 0.00060054
-0.00099966 0.00082309 0.00043198
-0.0009999 0.00069865 0.00028458
-0.0010003 0.00054821 0.00016384
-0.0009996 0.00037728 7.4233e-05
-0.00099967 0.00019233 1.9102e-05
-0.0010001 4.1984e-07 5.1047e-07
-0.0010006 -0.014236 1.6967e-06
-0.0009997 -0.014431 -1.75e-05
-0.0010003 -0.014619 -7.439e-05
-0.00099996 -0.014792 -0.00016679
-0.0010006 -0.014943 -0.00029113
-0.00099986 -0.019651 -0.0049979
-0.0009998 -0.019652 -0.020998
-0.0010005 -0.019671 -0.021193
-0.00099965 -0.019728 -0.021381
-0.00099972 -0.019821 -0.021553
-0.00099994 -0.019945 -0.021705
-0.0010006 -0.020096 -0.021829
-0.0010002 -0.020269 -0.021922
-0.00099986 -0.020457 -0.021979
-0.00099995 -0.020652 -0.021998
-0.0010002 -0.023652 -0.021998
-0.0010003 -0.023847 -0.022017
-0.00099987 -0.024035 -0.022074
-0.0010006 -0.024208 -0.022166
-0.0010002 -0.024359 -0.02229
-0.0010004 -0.024484 -0.022442
-0.0010005 -0.024576 -0.022615
-0.0010006 -0.024633 -0.022802
-0.0010003 -0.024652 -0.022997
-0.0010003 -0.024652 -0.023583
-0.0010006 -0.024633 -0.023778
-0.0010005 -0.024576 -0.023966
-0.0010004 -0.024484 -0.024139
-0.0010002 -0.02436 -0.02429
-0.0010005 -0.014946 -0.033705
-0.00099987 -0.014794 -0.03383
-0.0010002 -0.014621 -0.033922
-0.0010006 -0.014434 -0.033979
-0.0010005 -0.014239 -0.033998
