Scintillator file for SINPA FILDSIM
Scintilator stl file: scintillator
File by jansen 
2  ! Kind of plate
187  ! Number of triangles
-3.1898E-07    0.025568        0.0089847
4.5754E-07     0.02571         0.0084814
-3.828E-07     0.025927        0.0080049
3.3625E-08     0.026211        0.0075659
-3.2049E-07    0.026558        0.0071743
-7.3107E-08    0.026959        0.0068387
5.5194E-08     0.027406        0.0065667
1.4954E-07     0.027888        0.0063642
9.231E-08      0.028395        0.006236
-2.6081E-07    0.028916        0.0061848
-4.029E-07     0.029438        0.0062117
-3.6054E-07    0.029951        0.0063162
5.0806E-07     0.030442        0.0064959
-1.4086E-08    0.030901        0.0067468
3.2469E-07     0.031318        0.0070634
-5.0907E-07    0.031683        0.0074384
-2.0868E-08    0.031987        0.0078637
3.9876E-07     0.032225        0.0083296
-3.0354E-07    0.032391        0.0088257
3.009E-07      0.032481        0.009341
-1.9419E-07    0.032493        0.009864
-8.7371E-08    0.032427        0.010383
9.6488E-08     0.032285        0.010886
1.1796E-07     0.032069        0.011363
-4.3705E-07    0.031784        0.011802
-2.1004E-07    0.038996        0.016012
-2.2526E-07    0.042548        0.00001295
5.2216E-07     0.058001        0.00001757
5.6402E-08     0.063002        -0.0049809
-5.6755E-08    0.063014        -0.044981
